1.0007810e+05, 1.6108590e+03, -6.9242940e+01
7.9453130e+04, 1.6127150e+03, -5.9554060e+01
6.3140620e+04, 1.6133230e+03, -5.2704400e+01
5.0203120e+04, 1.6153730e+03, -4.9494930e+01
3.9890620e+04, 1.6162180e+03, -4.7080100e+01
3.1640630e+04, 1.6183120e+03, -4.6888630e+01
2.5171880e+04, 1.6208710e+03, -4.9543950e+01
2.0015620e+04, 1.6235230e+03, -5.2757490e+01
1.5890620e+04, 1.6262740e+03, -5.9394170e+01
1.2609380e+04, 1.6287410e+03, -6.6990650e+01
1.0078130e+04, 1.6324230e+03, -7.6202860e+01
8.0156250e+03, 1.6370450e+03, -8.8327890e+01
6.3281250e+03, 1.6428520e+03, -1.0487550e+02
5.0156250e+03, 1.6490370e+03, -1.2549730e+02
3.9843750e+03, 1.6573110e+03, -1.4929550e+02
3.1709560e+03, 1.6659640e+03, -1.7900310e+02
2.5275730e+03, 1.6768500e+03, -2.1345170e+02
1.9761030e+03, 1.6903070e+03, -2.6066540e+02
1.5775240e+03, 1.7056310e+03, -3.1104180e+02
1.2656250e+03, 1.7209660e+03, -3.7286610e+02
9.9826400e+02, 1.7413640e+03, -4.5061670e+02
7.9687500e+02, 1.7617660e+03, -5.4152060e+02
6.2779020e+02, 1.7886200e+03, -6.5989540e+02
5.0551470e+02, 1.8139560e+03, -7.9238730e+02
3.9799530e+02, 1.8462710e+03, -9.7292200e+02
3.1550480e+02, 1.8833690e+03, -1.1914310e+03
2.5240380e+02, 1.9267830e+03, -1.4507530e+03
1.9862290e+02, 1.9839160e+03, -1.7963690e+03
1.5836150e+02, 2.0530950e+03, -2.2003420e+03
1.2555800e+02, 2.1428530e+03, -2.7098570e+03
1.0044640e+02, 2.2521200e+03, -3.3097660e+03
7.9002810e+01, 2.4045980e+03, -4.1051950e+03
6.3344600e+01, 2.5848120e+03, -4.9980780e+03
5.0223210e+01, 2.8423640e+03, -6.1473130e+03
3.8422130e+01, 3.1904240e+03, -7.7780240e+03
3.1250000e+01, 3.5441230e+03, -9.3182870e+03
2.4933510e+01, 4.0310040e+03, -1.1342970e+04
1.9862290e+01, 4.6430400e+03, -1.3799880e+04
1.5625000e+01, 5.4329010e+03, -1.6931620e+04
1.2400790e+01, 6.4227200e+03, -2.0614360e+04
9.9311400e+00, 7.5797160e+03, -2.4856580e+04
7.9449150e+00, 9.0176770e+03, -2.9998250e+04
6.3173850e+00, 1.0817670e+04, -3.6313170e+04
5.0080130e+00, 1.3049900e+04, -4.4051430e+04
3.9457070e+00, 1.5839250e+04, -5.3657710e+04
3.1586930e+00, 1.9030850e+04, -6.4502610e+04
2.5040060e+00, 2.3068540e+04, -7.8281010e+04
1.9980820e+00, 2.7862120e+04, -9.4278940e+04
1.5846860e+00, 3.3884520e+04, -1.1410280e+05
1.2668920e+00, 4.1022140e+04, -1.3718400e+05
9.9904100e-01, 5.0363370e+04, -1.6673930e+05
7.9234280e-01, 6.1723850e+04, -2.0164390e+05
6.3344590e-01, 7.5382300e+04, -2.4208670e+05
5.0403230e-01, 9.2791670e+04, -2.9159250e+05
4.0064100e-01, 1.1478910e+05, -3.5113690e+05
3.1672300e-01, 1.4329420e+05, -4.2405830e+05
2.5201610e-01, 1.7847920e+05, -5.0841680e+05
2.0032050e-01, 2.2338640e+05, -6.0857460e+05
1.5889830e-01, 2.8053730e+05, -7.2723390e+05
1.2600810e-01, 3.5305000e+05, -8.6577080e+05
1.0016030e-01, 4.4277340e+05, -1.0244750e+06
7.9449200e-02, 5.5481650e+05, -1.2066620e+06
6.3173900e-02, 6.9143050e+05, -1.4053860e+06
5.0133700e-02, 8.5357630e+05, -1.6312550e+06
3.9825800e-02, 1.0442540e+06, -1.8790390e+06
3.1629600e-02, 1.2595200e+06, -2.1520460e+06
2.5120600e-02, 1.5008140e+06, -2.4565820e+06
1.9955300e-02, 1.7706910e+06, -2.7958340e+06
1.5852200e-02, 2.0729090e+06, -3.1870280e+06
1.2590700e-02, 2.4165170e+06, -3.6273880e+06
1.0001100e-02, 2.7943070e+06, -4.1292780e+06
