5015.6,100.94,-2.7464
3984.4,101.2,-3.1577
3171,101.52,-3.5787
2527.6,101.95,-4.0951
1976.1,102.39,-4.7225
1577.5,102.91,-5.3763
1265.6,103.51,-6.1079
998.26,104.2,-6.9943
796.88,105,-7.8995
627.79,105.8,-9.1108
505.51,106.72,-10.314
398,107.81,-11.899
315.5,109.03,-13.708
252.4,110.46,-15.743
198.62,112.15,-18.287
158.36,114.1,-21.05
125.56,116.44,-24.275
100.45,119.01,-27.736
79.003,122.28,-32.068
63.345,125.68,-36.459
50.223,128.41,-41.321
38.422,134.74,-48.515
31.25,139.35,-54.664
24.934,144.53,-62.174
19.862,151.19,-71.409
15.625,157.74,-82.828
12.401,163.94,-95.925
9.9311,170.08,-110.39
7.9449,176.9,-128.5
6.3174,184.19,-151.05
5.008,192.29,-179.48
3.9457,201.17,-215.82
3.1587,210.52,-257.98
2.504,221.74,-313.01
1.9981,233.83,-378.79
1.5847,248.3,-462.38
1.2669,264.79,-562.17
0.99904,285.63,-693.15
0.79234,310.23,-852.04
0.63345,338.77,-1041.2
0.50403,374.31,-1279.1
0.40064,417.88,-1574.2
0.31672,472.96,-1949
0.25202,539.56,-2400.8
0.20032,623.02,-2962.3
0.1589,728.63,-3663
0.12601,863.02,-4533.4
0.10016,1033.1,-5600.1
0.079449,1253.2,-6930.7
0.063174,1539.6,-8554.8
0.050134,1913.4,-10579
0.039826,2404.3,-13069
0.03163,3057.2,-16136
0.025121,3931.8,-19913
0.019955,5093.1,-24533
0.015852,6646.2,-30165
0.012591,8753.7,-36949
0.010001,11564,-45381
